Time, Ac_X+950, Ac_Y+300, Ac_Z, Gy_X-480, Gy_Y-170, Gy_Z-210, (Temp-1600)/340+36.53, Compas_X, Compas_Y, Compas_Z
16, 9080, 12352, -5284, 721, 3143, 363, -864, -232, -448, -42
30, 9120, 12316, -5232, -177, -609, -39, -848, -232, -448, -42
46, 9044, 12464, -5416, -222, -580, -8, -848, -232, -448, -42
60, 9116, 12392, -5284, -187, -604, -46, -864, -232, -448, -42
75, 9120, 12408, -5460, -188, -670, -55, -864, -236, -448, -43
90, 9308, 12364, -5156, -206, -718, -154, -864, -236, -448, -43
104, 9152, 12340, -5392, -160, -650, -87, -880, -236, -448, -43
119, 8988, 12444, -5460, -124, -673, -143, -848, -236, -448, -43
134, 9144, 12452, -5240, -161, -627, -86, -864, -236, -448, -43
149, 9236, 12384, -5328, -185, -633, -65, -816, -236, -446, -42
163, 9212, 12356, -5360, -186, -595, -73, -848, -236, -446, -42
179, 9124, 12400, -5264, -163, -617, -69, -864, -236, -446, -42
193, 9128, 12348, -5316, -141, -612, -66, -864, -236, -446, -42
208, 9020, 12352, -5300, -174, -577, -31, -864, -237, -447, -45
223, 9168, 12436, -5320, -167, -586, 13, -848, -237, -447, -45
238, 9112, 12316, -5248, -142, -602, -98, -848, -237, -447, -45
252, 9100, 12408, -5464, -167, -596, -47, -832, -237, -447, -45
268, 9124, 12384, -5264, -164, -577, -71, -800, -237, -447, -45
282, 9208, 12276, -5304, -168, -563, -66, -832, -237, -448, -46
297, 9172, 12448, -5228, -162, -565, -152, -816, -237, -448, -46
312, 9192, 12328, -5344, -196, -542, -44, -832, -237, -448, -46
327, 9000, 12348, -5332, -181, -568, -59, -832, -237, -448, -46
342, 8880, 12288, -5352, 96, -678, 90, -816, -238, -443, -42
356, 9012, 12460, -5412, -124, -572, 12, -816, -238, -443, -42
371, 9120, 12480, -5276, -84, -519, 76, -816, -238, -443, -42
386, 9160, 12364, -5208, -161, -508, 43, -816, -238, -443, -42
401, 9112, 12276, -5056, -195, -638, -22, -816, -238, -443, -42
